CSV-1.00;Elster Metering Systems Power Master Unit;;;;;;;;;;;;;;;;;;;;;;
From unit;0000000004670405 06.06.2017 8:46:16;;;;;;;;;;;;;;;;;;;;;;
Date;StartTime;EndTime;1: Import kW;2: Export kW;3: Off;4: Off;5: Off;6: Off;7: Off;8: Off;9: Off;10: Off;11: Off;12: Off;13: Off;14: Off;15: Customer Defined 1;16: Customer Defined 2;Flags;;;;
27.02.2017;8:30:00;9:00:00;0,30964;0;;;;;;;;;;;;;0,034596;0;;;;;
27.02.2017;9:00:00;9:30:00;0,83253;0;;;;;;;;;;;;;0,05182;0;;;;;
27.02.2017;9:30:00;10:00:00;1,0243;0;;;;;;;;;;;;;0,066938;0;;;;;
27.02.2017;10:00:00;10:30:00;0,94139;0;;;;;;;;;;;;;0,04401;0;;;;;
27.02.2017;10:30:00;11:00:00;0,95506;0;;;;;;;;;;;;;0,060918;0;;;;;
27.02.2017;11:00:00;11:30:00;1,0013;0;;;;;;;;;;;;;0,063512;0;;;;;
27.02.2017;11:30:00;12:00:00;0,95505;0;;;;;;;;;;;;;0,058138;0;;;;;
27.02.2017;12:00:00;12:30:00;1,0509;0;;;;;;;;;;;;;0,05054;0;;;;;
27.02.2017;12:30:00;13:00:00;1,0443;0;;;;;;;;;;;;;0,054676;0;;;;;
27.02.2017;13:00:00;13:30:00;1,0497;0;;;;;;;;;;;;;0,059434;0;;;;;
27.02.2017;13:30:00;14:00:00;1,0584;0;;;;;;;;;;;;;0,04989;0;;;;;
27.02.2017;14:00:00;14:30:00;1,0505;0;;;;;;;;;;;;;0,054312;0;;;;;
27.02.2017;14:30:00;15:00:00;1,1033;0;;;;;;;;;;;;;0,079594;0;;;;;
27.02.2017;15:00:00;15:30:00;1,1619;0;;;;;;;;;;;;;0,073946;0;;;;;
27.02.2017;15:30:00;16:00:00;1,0448;0;;;;;;;;;;;;;0,08199;0;;;;;
27.02.2017;16:00:00;16:30:00;0,66374;0;;;;;;;;;;;;;0,095712;0;;;;;
27.02.2017;16:30:00;17:00:00;0,28605;0;;;;;;;;;;;;;0,09337;0;;;;;
27.02.2017;17:00:00;17:30:00;0,28764;0;;;;;;;;;;;;;0,087626;0;;;;;
27.02.2017;17:30:00;18:00:00;0,25681;0;;;;;;;;;;;;;0,09623;0;;;;;
27.02.2017;18:00:00;18:30:00;0,18063;0;;;;;;;;;;;;;0,043666;0;;;;;
27.02.2017;18:30:00;19:00:00;0,17356;0;;;;;;;;;;;;;0,070276;0;;;;;
27.02.2017;19:00:00;19:30:00;0,13705;0;;;;;;;;;;;;;0,05602;0;;;;;
27.02.2017;19:30:00;20:00:00;0,10549;0;;;;;;;;;;;;;0,065996;0;;;;;
27.02.2017;20:00:00;20:30:00;0,10399;0;;;;;;;;;;;;;0,063814;0;;;;;
27.02.2017;20:30:00;21:00:00;0,10047;0;;;;;;;;;;;;;0,057414;0;;;;;
27.02.2017;21:00:00;21:30:00;0,11247;0;;;;;;;;;;;;;0,071544;0;;;;;
27.02.2017;21:30:00;22:00:00;0,093624;0;;;;;;;;;;;;;0,051106;0;;;;;
27.02.2017;22:00:00;22:30:00;0,090914;0;;;;;;;;;;;;;0,042446;0;;;;;
27.02.2017;22:30:00;23:00:00;0,1016;0;;;;;;;;;;;;;0,064596;0;;;;;
27.02.2017;23:00:00;23:30:00;0,091246;0;;;;;;;;;;;;;0,047704;0;;;;;
27.02.2017;23:30:00;24:00:00;0,085218;0;;;;;;;;;;;;;0,03994;0;;;;;
28.02.2017;0:00:00;0:30:00;0,07306;0;;;;;;;;;;;;;0,01916;0;;;;;
28.02.2017;0:30:00;1:00:00;0,070894;0;;;;;;;;;;;;;0,021052;0;;;;;
28.02.2017;1:00:00;1:30:00;0,076074;0;;;;;;;;;;;;;0,02732;0;;;;;
28.02.2017;1:30:00;2:00:00;0,066828;0;;;;;;;;;;;;;0,014628;0;;;;;
28.02.2017;2:00:00;2:30:00;0,064508;0;;;;;;;;;;;;;0,013298;0;;;;;
28.02.2017;2:30:00;3:00:00;0,071558;0;;;;;;;;;;;;;0,021318;0;;;;;
28.02.2017;3:00:00;3:30:00;0,084912;0;;;;;;;;;;;;;0,048878;0;;;;;
28.02.2017;3:30:00;4:00:00;0,088056;0;;;;;;;;;;;;;0,04243;0;;;;;
28.02.2017;4:00:00;4:30:00;0,076948;0;;;;;;;;;;;;;0,02938;0;;;;;
28.02.2017;4:30:00;5:00:00;0,096766;0;;;;;;;;;;;;;0,060444;0;;;;;
28.02.2017;5:00:00;5:30:00;0,079432;0;;;;;;;;;;;;;0,032048;0;;;;;
28.02.2017;5:30:00;6:00:00;0,077882;0;;;;;;;;;;;;;0,028274;0;;;;;
28.02.2017;6:00:00;6:30:00;0,084642;0;;;;;;;;;;;;;0,035722;0;;;;;
28.02.2017;6:30:00;7:00:00;0,10994;0;;;;;;;;;;;;;0,083536;0;;;;;
28.02.2017;7:00:00;7:30:00;0,096216;0;;;;;;;;;;;;;0,06337;0;;;;;
28.02.2017;7:30:00;8:00:00;0,22642;0;;;;;;;;;;;;;0,068208;0;;;;;
28.02.2017;8:00:00;8:30:00;0,31683;0;;;;;;;;;;;;;0,08359;0;;;;;
28.02.2017;8:30:00;9:00:00;0,3189;0;;;;;;;;;;;;;0,04596;0;;;;;
28.02.2017;9:00:00;9:30:00;0,65221;0;;;;;;;;;;;;;0,059028;0;;;;;
28.02.2017;9:30:00;10:00:00;0,85604;0;;;;;;;;;;;;;0,090544;0;;;;;
28.02.2017;10:00:00;10:30:00;0,90403;0;;;;;;;;;;;;;0,050606;0;;;;;
28.02.2017;10:30:00;11:00:00;0,88986;0;;;;;;;;;;;;;0,054164;0;;;;;
28.02.2017;11:00:00;11:30:00;0,93211;0;;;;;;;;;;;;;0,087036;0;;;;;
28.02.2017;11:30:00;12:00:00;0,99516;0;;;;;;;;;;;;;0,055822;0;;;;;
28.02.2017;12:00:00;12:30:00;1,091;0;;;;;;;;;;;;;0,053242;0;;;;;
28.02.2017;12:30:00;13:00:00;1,0906;0;;;;;;;;;;;;;0,061436;0;;;;;
28.02.2017;13:00:00;13:30:00;1,0667;0;;;;;;;;;;;;;0,065428;0;;;;;
28.02.2017;13:30:00;14:00:00;1,0413;0;;;;;;;;;;;;;0,04571;0;;;;;
28.02.2017;14:00:00;14:30:00;1,0897;0;;;;;;;;;;;;;0,07053;0;;;;;
28.02.2017;14:30:00;15:00:00;1,0982;0;;;;;;;;;;;;;0,077562;0;;;;;
28.02.2017;15:00:00;15:30:00;1,0935;0;;;;;;;;;;;;;0,081248;0;;;;;
28.02.2017;15:30:00;16:00:00;0,78896;0;;;;;;;;;;;;;0,075446;0;;;;;
28.02.2017;16:00:00;16:30:00;0,77481;0;;;;;;;;;;;;;0,083338;0;;;;;
28.02.2017;16:30:00;17:00:00;0,41507;0;;;;;;;;;;;;;0,088498;0;;;;;
28.02.2017;17:00:00;17:30:00;0,22847;0;;;;;;;;;;;;;0,091992;0;;;;;
28.02.2017;17:30:00;18:00:00;0,14006;0;;;;;;;;;;;;;0,073754;0;;;;;
28.02.2017;18:00:00;18:30:00;0,11903;0;;;;;;;;;;;;;0,047172;0;;;;;
28.02.2017;18:30:00;19:00:00;0,15026;0;;;;;;;;;;;;;0,076008;0;;;;;
28.02.2017;19:00:00;19:30:00;0,1264;0;;;;;;;;;;;;;0,04879;0;;;;;
28.02.2017;19:30:00;20:00:00;0,14545;0;;;;;;;;;;;;;0,079166;0;;;;;
28.02.2017;20:00:00;20:30:00;0,12093;0;;;;;;;;;;;;;0,061072;0;;;;;
28.02.2017;20:30:00;21:00:00;0,16998;0;;;;;;;;;;;;;0,07333;0;;;;;
28.02.2017;21:00:00;21:30:00;0,18663;0;;;;;;;;;;;;;0,05468;0;;;;;
28.02.2017;21:30:00;22:00:00;0,20462;0;;;;;;;;;;;;;0,081288;0;;;;;
28.02.2017;22:00:00;22:30:00;0,18126;0;;;;;;;;;;;;;0,046928;0;;;;;
28.02.2017;22:30:00;23:00:00;0,18162;0;;;;;;;;;;;;;0,04542;0;;;;;
28.02.2017;23:00:00;23:30:00;0,1821;0;;;;;;;;;;;;;0,048004;0;;;;;
28.02.2017;23:30:00;24:00:00;0,18179;0;;;;;;;;;;;;;0,049158;0;;;;;
01.03.2017;0:00:00;0:30:00;0,17111;0;;;;;;;;;;;;;0,034014;0;;;;;
01.03.2017;0:30:00;1:00:00;0,17799;0;;;;;;;;;;;;;0,039714;0;;;;;
01.03.2017;1:00:00;1:30:00;0,17571;0;;;;;;;;;;;;;0,036472;0;;;;;
01.03.2017;1:30:00;2:00:00;0,1648;0;;;;;;;;;;;;;0,023418;0;;;;;
01.03.2017;2:00:00;2:30:00;0,16913;0;;;;;;;;;;;;;0,02855;0;;;;;
01.03.2017;2:30:00;3:00:00;0,16274;0;;;;;;;;;;;;;0,023564;0;;;;;
01.03.2017;3:00:00;3:30:00;0,1836;0;;;;;;;;;;;;;0,054188;0;;;;;
01.03.2017;3:30:00;4:00:00;0,1809;0;;;;;;;;;;;;;0,046654;0;;;;;
01.03.2017;4:00:00;4:30:00;0,17488;0;;;;;;;;;;;;;0,036448;0;;;;;
01.03.2017;4:30:00;5:00:00;0,19289;0;;;;;;;;;;;;;0,06637;0;;;;;
01.03.2017;5:00:00;5:30:00;0,18288;0;;;;;;;;;;;;;0,047054;0;;;;;
01.03.2017;5:30:00;6:00:00;0,16807;0;;;;;;;;;;;;;0,030276;0;;;;;
01.03.2017;6:00:00;6:30:00;0,17278;0;;;;;;;;;;;;;0,033512;0;;;;;
01.03.2017;6:30:00;7:00:00;0,17696;0;;;;;;;;;;;;;0,050398;0;;;;;
01.03.2017;7:00:00;7:30:00;0,16315;0;;;;;;;;;;;;;0,028436;0;;;;;
01.03.2017;7:30:00;8:00:00;0,32528;0;;;;;;;;;;;;;0,03943;0;;;;;
01.03.2017;8:00:00;8:30:00;0,56407;0;;;;;;;;;;;;;0,068224;0;;;;;
01.03.2017;8:30:00;9:00:00;0,58054;0;;;;;;;;;;;;;0,036042;0;;;;;
01.03.2017;9:00:00;9:30:00;0,8495;0;;;;;;;;;;;;;0,04464;0;;;;;
01.03.2017;9:30:00;10:00:00;0,94834;0;;;;;;;;;;;;;0,11542;0;;;;;
01.03.2017;10:00:00;10:30:00;1,1843;0;;;;;;;;;;;;;0,28678;0;;;;;
01.03.2017;10:30:00;11:00:00;1,0909;0;;;;;;;;;;;;;0,2972;0;;;;;
01.03.2017;11:00:00;11:30:00;1,048;0;;;;;;;;;;;;;0,165;0;;;;;
01.03.2017;11:30:00;12:00:00;1,1345;0;;;;;;;;;;;;;0,098062;0;;;;;
01.03.2017;12:00:00;12:30:00;1,0797;0;;;;;;;;;;;;;0,065816;0;;;;;
01.03.2017;12:30:00;13:00:00;1,1006;0;;;;;;;;;;;;;0,066844;0;;;;;
01.03.2017;13:00:00;13:30:00;1,0916;0;;;;;;;;;;;;;0,06886;0;;;;;
01.03.2017;13:30:00;14:00:00;1,065;0;;;;;;;;;;;;;0,063706;0;;;;;
01.03.2017;14:00:00;14:30:00;1,1346;0;;;;;;;;;;;;;0,1069;0;;;;;
01.03.2017;14:30:00;15:00:00;1,1725;0;;;;;;;;;;;;;0,15921;0;;;;;
01.03.2017;15:00:00;15:30:00;1,1358;0;;;;;;;;;;;;;0,068282;0;;;;;
01.03.2017;15:30:00;16:00:00;1,1562;0;;;;;;;;;;;;;0,08983;0;;;;;
01.03.2017;16:00:00;16:30:00;1,1818;0;;;;;;;;;;;;;0,11508;0;;;;;
01.03.2017;16:30:00;17:00:00;0,94503;0;;;;;;;;;;;;;0,088376;0;;;;;
01.03.2017;17:00:00;17:30:00;0,81489;0;;;;;;;;;;;;;0,095186;0;;;;;
01.03.2017;17:30:00;18:00:00;0,66317;0;;;;;;;;;;;;;0,077994;0;;;;;
01.03.2017;18:00:00;18:30:00;0,46629;0;;;;;;;;;;;;;0,059436;0;;;;;
01.03.2017;18:30:00;19:00:00;0,3579;0;;;;;;;;;;;;;0,05983;0;;;;;
01.03.2017;19:00:00;19:30:00;0,3446;0;;;;;;;;;;;;;0,060738;0;;;;;
01.03.2017;19:30:00;20:00:00;0,34057;0;;;;;;;;;;;;;0,094434;0;;;;;
01.03.2017;20:00:00;20:30:00;0,31408;0;;;;;;;;;;;;;0,084918;0;;;;;
01.03.2017;20:30:00;21:00:00;0,32017;0;;;;;;;;;;;;;0,095144;0;;;;;
01.03.2017;21:00:00;21:30:00;0,27227;0;;;;;;;;;;;;;0,06104;0;;;;;
01.03.2017;21:30:00;22:00:00;0,21274;0;;;;;;;;;;;;;0,093548;0;;;;;
01.03.2017;22:00:00;22:30:00;0,12938;0;;;;;;;;;;;;;0,08839;0;;;;;
01.03.2017;22:30:00;23:00:00;0,10307;0;;;;;;;;;;;;;0,05472;0;;;;;
01.03.2017;23:00:00;23:30:00;0,11716;0;;;;;;;;;;;;;0,07397;0;;;;;
01.03.2017;23:30:00;24:00:00;0,11263;0;;;;;;;;;;;;;0,072076;0;;;;;
02.03.2017;0:00:00;0:30:00;0,096946;0;;;;;;;;;;;;;0,053626;0;;;;;
02.03.2017;0:30:00;1:00:00;0,091072;0;;;;;;;;;;;;;0,042982;0;;;;;
02.03.2017;1:00:00;1:30:00;0,087624;0;;;;;;;;;;;;;0,039532;0;;;;;
02.03.2017;1:30:00;2:00:00;0,084918;0;;;;;;;;;;;;;0,037396;0;;;;;
02.03.2017;2:00:00;2:30:00;0,07813;0;;;;;;;;;;;;;0,028906;0;;;;;
02.03.2017;2:30:00;3:00:00;0,081676;0;;;;;;;;;;;;;0,03189;0;;;;;
02.03.2017;3:00:00;3:30:00;0,099854;0;;;;;;;;;;;;;0,065758;0;;;;;
02.03.2017;3:30:00;4:00:00;0,094064;0;;;;;;;;;;;;;0,052178;0;;;;;
02.03.2017;4:00:00;4:30:00;0,10246;0;;;;;;;;;;;;;0,062792;0;;;;;
02.03.2017;4:30:00;5:00:00;0,11013;0;;;;;;;;;;;;;0,078074;0;;;;;
02.03.2017;5:00:00;5:30:00;0,10033;0;;;;;;;;;;;;;0,06298;0;;;;;
02.03.2017;5:30:00;6:00:00;0,096002;0;;;;;;;;;;;;;0,05566;0;;;;;
02.03.2017;6:00:00;6:30:00;0,11419;0;;;;;;;;;;;;;0,080188;0;;;;;
02.03.2017;6:30:00;7:00:00;0,12565;0;;;;;;;;;;;;;0,10151;0;;;;;
02.03.2017;7:00:00;7:30:00;0,1079;0;;;;;;;;;;;;;0,072324;0;;;;;
02.03.2017;7:30:00;8:00:00;0,46632;0;;;;;;;;;;;;;0,08432;0;;;;;
02.03.2017;8:00:00;8:30:00;0,7046;0;;;;;;;;;;;;;0,095354;0;;;;;
02.03.2017;8:30:00;9:00:00;0,72662;0;;;;;;;;;;;;;0,077892;0;;;;;
02.03.2017;9:00:00;9:30:00;1,0394;0;;;;;;;;;;;;;0,052292;0;;;;;
02.03.2017;9:30:00;10:00:00;1,0125;0;;;;;;;;;;;;;0,087972;0;;;;;
02.03.2017;10:00:00;10:30:00;1,0422;0;;;;;;;;;;;;;0,068792;0;;;;;
02.03.2017;10:30:00;11:00:00;1,0784;0;;;;;;;;;;;;;0,078344;0;;;;;
02.03.2017;11:00:00;11:30:00;1,1372;0;;;;;;;;;;;;;0,10989;0;;;;;
02.03.2017;11:30:00;12:00:00;1,1247;0;;;;;;;;;;;;;0,089914;0;;;;;
02.03.2017;12:00:00;12:30:00;1,0428;0;;;;;;;;;;;;;0,059004;0;;;;;
02.03.2017;12:30:00;13:00:00;1,0178;0;;;;;;;;;;;;;0,084172;0;;;;;
02.03.2017;13:00:00;13:30:00;1,0225;0;;;;;;;;;;;;;0,069628;0;;;;;
02.03.2017;13:30:00;14:00:00;0,88198;0;;;;;;;;;;;;;0,06746;0;;;;;
02.03.2017;14:00:00;14:30:00;0,88921;0;;;;;;;;;;;;;0,06983;0;;;;;
02.03.2017;14:30:00;15:00:00;1,0044;0;;;;;;;;;;;;;0,087992;0;;;;;
02.03.2017;15:00:00;15:30:00;0,95016;0;;;;;;;;;;;;;0,083012;0;;;;;
02.03.2017;15:30:00;16:00:00;0,92964;0;;;;;;;;;;;;;0,09017;0;;;;;
02.03.2017;16:00:00;16:30:00;0,74132;0;;;;;;;;;;;;;0,10257;0;;;;;
02.03.2017;16:30:00;17:00:00;0,76146;0;;;;;;;;;;;;;0,33393;0;;;;;
02.03.2017;17:00:00;17:30:00;0,60818;0;;;;;;;;;;;;;0,083274;0;;;;;
02.03.2017;17:30:00;18:00:00;0,62101;0;;;;;;;;;;;;;0,098028;0;;;;;
02.03.2017;18:00:00;18:30:00;0,47574;0;;;;;;;;;;;;;0,089958;0;;;;;
